[5.572] (S)gogopimimi: ウメちゃん
[7107.590] ツカポン: ときどは私服で出るのかなー
[7113.861] (S)壱万円札: 明日は生なんですね
[7114.369] (S)call49: ２戦目までは発表されてた
[7118.769] MazicMozaic: トラキアがおもしろいからしゃあない
[7122.052] NagOutSide: umeSalute
[7130.118] (S)kurataro: 21時から放送だね
[7131.569] (S)NAOjpp: ウメガイルやっとみれるぜ
[7139.606] (S)zyagamon: 全部収録でしょ 明日一戦目
[7141.822] (S)varoshi: ガイルやってる？
[7143.343] ~MISSING_COMMENTER_INFO~: がいるみたいな
[7145.452] (S)thefrozensun_: 朝に試合して２１時に録画放送なのかな
[7145.620] aparantia: がんばってー！
[7146.722] yukihiro3417: レイジトラキア杯わんちゃんある
[7147.357] (S)壱万円札: 収録ですか なるほど
[7149.189] ツカポン: ガイルって今、全然やってないんです？？？
[7150.269] (S)toshioj: ああじゃあ配信とは関係ないんか
[7162.624] yamame: カメラ変えた？綺麗に見える
[7164.802] (S)varoshi: やってんだ。
[7165.563] (S)kurataro: 配信が是空というだけで
[7166.921] (S)Kanquez05: 1節目がウメとき、2節目がウメマゴってのは発表されてた
[7169.280] (S)avmajvm: ああ、もう最初の組み合わせは試合済んでるのか
[7192.372] Stay_Hydrated_Bot: @daigothebeastv 
[7196.284] (S)call49: ありがてぇ・・・
[7203.596] (S)nanmi__: 毎週 
[7211.099] (S)NAOjpp: ｗｗ
[7212.628] (S)あと1983: ハクとは？
[7215.366] shikamaru1219: w
[7217.067] (S)papipopon: グズグズ？
[7221.415] (S)zyagamon: ジョニィよぉ
[7223.464] tamaow: 川村くんとは
[7225.299] (S)NAOjpp: OK
[7230.810] (S)山田たろう太郎: 折角のチャンスを
[7231.595] (S)テムおじ: やったぜ
[7232.128] (S)ryou7144: 配信機材に目覚めるダイゴ
[7232.347] (S)NAOjpp: もう誰でもいいですｗ
[7233.230] (S)壱万円札: 配信盛りだくさんで楽しみです
[7235.216] (S)たあぼ0126: 加賀とは
[7240.435] balthazar000: ついて来れない奴は置いていく
[7246.609] (S)西田敏行アウトレイジ: ぱいなぽお
[7251.160] yamame: すげえ
[7251.387] (S)motyatya: うおおおお
[7251.441] (S)kurataro: それにしても、ラーメン多いな
[7253.352] (S)zyagamon: トルキア全クリしたら加賀呼ぼう
[7254.479] (S)NAOjpp: めっちゃきれいやんｗｗ
[7255.213] yukihiro3417: すげーきれい
[7255.297] (S)zakkn: まーーじか
[7255.658] (S)nanmi__: umeYung
[7255.661] (S)テムおじ: めっちゃきれい
[7255.683] NagOutSide: おお
[7256.365] (S)あと1983: ゴエモンおる
[7257.053] (S)ビフィダス: おお、きれいきれい
[7258.345] (S)ryou7144: 荒れた肌までくっきり
[7258.491] (S)zyagamon: カメラやばい
[7258.679] (S)shopynis: おおお
[7258.769] yukaring: VisLaud
[7258.930] ~MISSING_COMMENTER_INFO~: ゴエモンがいる
[7259.069] yamame: 綺麗すぎる
[7259.730] NagOutSide: うおおおお
[7260.332] (S)kurataro: 確かに、明るいなぁとは思ってたが
[7261.635] (S)tenten2156: きれい
[7262.087] (S)avmajvm: 後ろがすげーくっきりした
[7262.280] (S)toshioj: うわめっちゃきれい
[7262.495] burisuke: きれ～
[7262.620] (S)zakkn: 最高画質
[7265.887] (S)papipopon: すんごいきれい
[7266.157] (S)あと1983: すげーきれい
[7266.487] kaeru100: 後ろやってるの誰？
[7268.748] (S)~MISSING_COMMENTER_INFO~: オートフォーカス
[7269.664] ~MISSING_COMMENTER_INFO~: ジュゲムの上にザンギ
[7269.996] ランブル高木: 今日のウメちゃんイケメンだなあって思ってたわ
[7270.360] (S)yoinio: りゅうの顔もはっきり
[7270.564] (S)NAOjpp: 目にやさしい
[7270.635] (S)ビフィダス: 背景がにぎやかに
[7271.140] (S)zakkn: たかし・・
[7271.256] (S)山田たろう太郎: 超鮮明だね
[7271.831] (S)poki_frappe: おお画質良いｗ
[7272.105] NagOutSide: ガイルのドットが見えます
[7272.764] (S)oinari6: 肌荒れも見られるね
[7272.842] aparantia: ゴエモンがいる
[7273.121] (S)壱万円札: 機種名よければ
[7273.299] (S)motyatya: 後ろ賑やかになったな
[7273.978] (S)varoshi: 言われてみれば
[7274.053] (S)kitagawakun: ウメ猫みせて
[7274.110] okojo1991: え、なにこの高画質
[7274.361] (S)あと1983: キャットみえんくなった
[7275.316] PolymoZZ: たしかにきれいと思ってた
[7276.546] yamame: 猫はよ
[7276.729] sinsin565: 老けてみえる
[7281.142] balthazar000: 猫も綺麗に写るね
[7281.580] (S)NAOjpp: 画質いいと目がつかれない
[7281.777] (S)kurataro: 鮮明！
[7284.190] (S)zakkn: ごえもん
[7285.710] (S)ビフィダス: ウメキャット元気？
[7289.675] PolymoZZ: 猫が見えるようにしてほしい
[7293.827] (S)kurataro: はっきりクッキリ
[7294.594] (S)samonyan: こんなカメラじゃ女性ゲスト呼べない
[7297.341] (S)kitagawakun: 猫が見えるようにしてほしい
[7297.362] (S)heterotopia3: 綺麗な画面で猫見たい
[7297.453] hosp1990: 壁増えてる
[7299.411] minosan425: BGMで笑う
[7300.002] yamame: すげえくっきり
[7302.054] NagOutSide: オートフォーカス？
[7303.745] (S)kurataro: 自動でピント合わせてる？
[7305.272] (S)~MISSING_COMMENTER_INFO~: どこのメーカー？
[7306.622] 東北のスロカス: コメ見る用に縦のモニター買ったら？
[7306.719] (S)nanmi__: これで綺麗なゴザ氏が見れるね
[7310.542] (S)shopynis: 小さいリュウとザンギもおったんか
[7311.650] Jaguar_kick: ホワイトボードに何か書いてみて
[7311.933] balthazar000: いない.,.
[7313.913] (S)あと1983: まじかすげえ
[7315.777] burisuke: 猫は数字もってますぜ
[7319.167] (S)NAOjpp: ウメさんのyoutuberになっちゃいなよｗこんな良いカメラだしｗ
[7319.738] (S)call49: マジでキレイになったね
[7322.281] sinsin565: にんにくの文字まで見えそう
[7322.553] dai58: 昔のカメラでネコを
[7323.810] (S)あと1983: ロジクールありがとー
[7325.275] valerpizza: パックンフラワーどうなってんの
[7326.154] (S)heterotopia3: ベガもおる
[7327.433] (S)~MISSING_COMMENTER_INFO~: すごいシャープ
[7334.351] (S)recycle4: ロジクールのBRIOってやつかな
[7334.784] (S)サラバア: たしかにBGM不穏ｗ
[7335.348] (S)toshioj: キレイすぐるｗ
[7337.151] ぱーーまん: BGMが絶望的すぎる
[7341.506] (S)だんごうお: お高いんでしょう？
[7342.106] (S)papipopon: 前と差がすごいね
[7342.551] (S)壱万円札: 露地くーる
[7344.103] (S)テムおじ: 次トラキアいつや
[7344.201] rm_rf__: やっぱロジさんなんやなぁって
[7348.799] (S)あと1983: おつかれさまー
[7349.785] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[7353.550] (S)akiaki0612: 引っ越しいつ頃になるんですか？
[7354.755] 東北のスロカス: えぇｗ
[7356.596] (S)call49: さすがの人脈
[7357.654] (S)Binbo_chama: 写るのはおじさんばかりだけどね
[7358.950] (S)kurataro: へぇー
[7361.844] (S)山田たろう太郎: 来客ありがとー
[7363.538] burisuke: え～
[7363.848] (S)yoinio: くれるもんなんだ
[7364.888] (S)ryou7144: もらい物おじさん
[7368.143] ほとんど: 来客神
[7368.682] (S)oinari6: 僕らも知ってる人？
[7370.818] (S)toshioj: たまたま来た来客ありがとーーーーーー
[7373.059] (S)テムおじ: ロジクールおじさんありがとー！
[7373.133] (S)thefrozensun_: どんな来客？
[7376.781] (S)motyatya: なるほど
[7380.144] PolymoZZ: ありがとうツイッチの人
[7381.302] (S)papipopon: ツイッチありがとー
[7381.566] (S)yoinio: ツイッチの人ありがとー
[7383.852] balthazar000: 献上品か
[7383.853] yamame: Twitchから貰ったのかｗ
[7384.892] (S)kurataro: さすがアンバサダー
[7387.409] burisuke: ツイッチありがと～
[7387.492] (S)zakkn: あったけえ
[7387.495] kamedaknuckle: Twitchの人さすがやなあ
[7388.227] (S)あと1983: ツイッチおじありがとー
[7395.041] (S)call49: これはWINWINだね
[7398.015] (S)たあぼ0126: ツイッチに日本スタッフおるんか
[7398.524] (S)テムおじ: グローバルアンバサダーだったわそういえば
[7399.215] (S)papipopon: ツイッチ太っ腹
[7399.827] (S)nanmi__: umeSalute
[7401.336] (S)icyblue1985: さすがアンバサダー
[7402.288] 東北のスロカス: おつかれっす
[7402.789] (S)papipopon: おつかれさまでした
[7404.658] (S)kurataro: おつかれさま
[7404.753] yamame: おつ
[7406.750] balthazar000: 土産持参せずにウメさんの家には入れないよな
[7408.362] (S)tenten2156: おつー
[7410.010] (S)icyblue1985: おつー
[7413.343] (S)Kanquez05: umeSalute
[7413.507] (S)juuuunation: umeSalute
[7413.515] (S)toshioj: おつおつ
[7413.589] balthazar000: おつ
[7416.955] (S)shiotama: おつかれー
[7419.328] SawayakaFaraday: KonCha
[7424.590] (S)~MISSING_COMMENTER_INFO~: umeJam
[7426.445] (S)仲村アペンド: お疲れ様っすー
