[10.796] あかの: キター
[14519.780] uridon123: おお
[14521.514] どらです: 鳥かご雰囲気ある
[14521.709] ebikatsu39: はやおいそう
[14524.464] (S)v_harumi_v: おしゃれ
[14525.486] HirocoT: いいですね
[14536.276] umegirl_twi: おしゃれ顔
[14538.901] tabibitox: 家具、お好きなんですねぇ～
[14549.915] junjamaica: うめちゃんの部屋はギースっぽいのが似合うけどな鎧兜とか集めよう
[14553.531] yoshikawa_yo: 中目黒から自由が丘にかけて こういう店がたくさん
[14554.974] zanpei501: アンティーク…お好きなんですねぇ
[14555.711] kitori_17: ウメちゃんが見れて嬉しみ
[14556.938] daizin0716: 界王様の声優さん亡くなっちまった
[14562.621] pot1111111: 何気にウメちゃんって男前だよね
[14563.149] piyopiyomaru555: アンティーク家具屋さんならハヤオいそうじゃん？
[14565.684] (S)シミズム: 家具界の駿もいるのか
[14566.435] fukinjp: 猫に恩返しされそう
[14566.643] Mendoh: インテリアコーディネーターに任せてしまうのもあり
[14570.379] kaigaizei: コーヒー屋の話が出るたびに3rdのはやおで再生されるんだが
[14577.441] よもぎです: ウメキャットはそういうのしないのかな
[14577.581] (M)Moobot: ワイヤレスヘッドセット Cloud ll Wireless 発売！ http://hyperx.gg/3i5czYA
[14585.252] taroumaruh: ビジネスマンぽい人でてくる
[14588.339] おひとつ: はやお系…
[14589.834] (S)シミズム: プロはお？やろねー
[14591.050] naginagi99: はやお系←
[14591.545] gatosarado22: salve daigo umehara
[14601.793] okamasa456: セカンドチャンス
[14604.876] GreeN3750: 貸してくれるんかい！？
[14606.141] クラクラ777: ぱわーーーー
[14610.916] (S)みそらーめん: どっちなんだい
[14617.579] よもぎです: トイレはあるのかい？
[14617.835] redbull_daisuki: ウメ山きんにくん
[14618.366] gatosarado22: salve Japão
[14621.678] クラクラ777: えｗ
[14622.461] kaworuko19: 置き去り
[14622.816] suginaka56: え、放置かいｗ
[14623.066] akira_s_: きんにくん？
[14624.549] dswlm: え、おいてくのｗ
[14625.509] クラクラ777: おいてくのｗｗｗｗ
[14626.464] Griotte12: え？
[14626.793] ebikatsu39: 直置きｗｗｗ
[14626.825] hiaaru: その場に置くのほんとこわい
[14628.962] 5don: だいじょぶ…？
[14629.995] (S)シミズム: 椅子とか興味あるの？
[14631.259] beehive3: 誘拐される
[14632.156] brutal9998: コーヒー屋だな駿といえば
[14633.699] (S)teruharu_: 雑すぎｗ
[14634.461] mmiiacha: 今日の盗人チャレンジきたぁ
[14634.523] 我がゴイチ: 直置きこえー
[14634.755] duve_11: 目黒のコンビニはきついか…？
[14635.111] kaigaizei: ここはさすがに盗まれそうだな
[14636.108] ポンポン: ウメちゃんの膀胱がどうなんだい
[14636.528] GreeN3750: 散歩犬の気持ち
[14636.595] (S)エスシーハート: 置いていくのか！？
[14638.552] (S)uomm00551: 置きっぱ！
[14639.861] フラスク: すげえよ…
[14640.802] Griotte12: 海外なら持っていかれる
[14640.990] よもぎです: さらわれるううう
[14644.868] gatosarado22: cadê o street fighter ?
[14645.590] junjamaica: リスナーほったらかしにするとはw
[14646.661] naginagi99: 東京でも置いていって大丈夫なんだな・・・
[14648.216] brutal9998: まじかよ！！！
[14648.423] taroumaruh: いってら～
[14651.613] zanpei501: ガソリンスタンドでいいじゃん
[14652.094] 5don: つながれたイヌの気持ち
[14653.049] おひとつ: いってらー
[14656.311] どらです: 三脚にもなるんだ
[14656.848] 我がゴイチ: 助けて...助けて...
[14659.186] aranami0: はっ！セブンに呼ばれている！？
[14660.038] クラクラ777: うわあああああああああああ
[14660.127] (S)yogyogsothoth: 豪遊の時間だ
[14663.192] umegirl_twi: 俺はいいよ
[14663.434] GreeN3750: いくら使うんだろう
[14664.206] masapaka: あっても？
[14665.116] クラクラ777: wooooooooooooo
[14666.259] uridon123: さぁどうなんだい？お前はトイレあるのかい？
[14667.593] (S)teruharu_: umeSnooze
[14667.632] (S)nijiojisan: umeYay
[14669.298] (S)erisuk: あ・・・あ・・・
[14669.972] suginaka56: StoneLightning
[14670.023] 5don: PowerUpL
[14670.773] Griotte12: 再び闇
[14671.702] メピパラ: 闇
[14671.784] (S)v_harumi_v: よかったー。
[14671.798] akira_s_: しまっちゃうよ〜
[14673.276] kirsch_jing: 闇に呑まれよ
[14674.493] umesecond: しまっちゃおうね～
[14675.594] たあぼ0126: 何か買うの？
[14675.867] フラスク: 暗い…
[14676.012] (S)いがぐりころころ: 犬の気持ち中々味わえん
[14677.404] junjamaica: さぁ、しまってもらおう
[14682.316] 我がゴイチ: 闇に飲まれる
[14684.248] ポンポン: 豪遊しちゃうよ
[14685.279] kitori_17: しまわれるんや....
[14686.632] masapaka: そのままでいいのに
[14691.175] umegirl_twi: ドキドキ
[14694.698] moscat0c7: またか
[14699.673] みそらの: 何かコメント調教されてきました？ｗ
[14699.757] (S)BaTiTi6969: あぁぁぁぁぁ 
[14705.474] (S)teruharu_: umeCat
[14705.631] よもぎです: この無音に落ち着きすら
[14706.842] おひとつ: umeYay
[14717.746] junjamaica: SMってこんな感情持つんやな
[14717.895] (M)Moobot: Twitch Prime は30日ごとの更新が必要です。お忘れなく！
[14721.450] umegirl_twi: 想像力
[14726.038] (S)いがぐりころころ: お？あったのか？
[14729.718] ddb365: 豚まんと予想
[14731.403] たあぼ0126: モンスターボールってこんな感じなんか
[14738.980] uridon123: 俺 寝ているのか……起きているのか……
[14741.776] prosciu: umeSnooze
[14743.399] (S)yogyogsothoth: narikunDon
[14744.943] suginaka56: ポケモンまじか
[14747.136] umegirl_twi: ドキドキ
[14750.411] masapaka: なんかせせらぎが聞こえるぞ
[14750.565] flashbacks18: umeYung
[14751.706] umegirl_twi: ウキウキ
[14761.447] (S)teruharu_: umeMika
[14765.421] nagisasaan00: 無音はキッツ
[14767.734] (S)いがぐりころころ: 喜びのトイレ
[14774.264] おひとつ: umeStretch
[14775.432] GreeN3750: コンビニで高いものってなんだろ
[14779.739] vespa127g: 勝ちたがりある？
[14785.377] masapaka: 1時間に一回トイレ行ってる
[14792.177] 5don: ウェブマネー10万円分とか…
[14803.825] uridon123: この店のもの全部下さい
[14804.700] (S)BaTiTi6969: PokDarkrai
[14805.522] sagamihara_a_a: 今トイレ中？
[14813.140] nagisasaan00: Ｔシャツ
[14816.777] ddb365: 店員に通報される額じゃん
[14822.646] umegirl_twi: ワックワク
[14830.555] セツリ: GoogleMapで追いついた いまセブンイレブン目黒中町１丁目店かな
[14831.363] どらです: 邪魔なもの買わずに金落とすのむずそう
[14847.204] (S)purpleskin06: umeStretch
[14855.043] GreeN3750: 確かにヘタなもん買うとかさばるな
[14865.082] (S)teruharu_: umeCatHope
[14865.338] umegirl_twi: 水買ってウェイト散歩
[14866.840] masapaka: モバイルバッテリー高いよ
[14881.440] (S)uomm00551: バイト君からするとどうでもいい
[14900.009] (S)katuo3_: アマギフ1万円
[14901.158] nagisasaan00: おでん食べてほしー
[14925.419] aranami0: お
[14933.753] umegirl_twi: ワクワク
[14935.717] (S)nijiojisan: umeYay
[14936.419] (S)teruharu_: umeJam
[14940.401] qq_taro: 光
[14945.899] をかし: をかし subscribed with Prime. They've subscribed for 16 months, currently on a 2 month streak! umeCatHope
[14945.972] (M)Moobot: @KOASHIMI with the 16 months re-sub! 
[14950.345] (S)katuo3_: umeYay
[14951.199] (S)mokkori_tarou: 下着3枚や
[14955.255] umesecond: コンビニおでん結構食う人多いね
[14970.031] (S)teruharu_: umeBoom
[14973.268] (S)BaTiTi6969: umeCatSleep
[14974.429] たあぼ0126: きたぁぁぁぁぁ
[14975.074] セツリ: KonCha
[14977.453] 5don: MercyWing1
[14979.121] (S)v_harumi_v: おかえりなさーい
[14984.262] taroumaruh: お金おとしたね～
[14984.506] nagisasaan00: 寒い日のコンビにおでんは輝いてる
[14984.635] (S)teruharu_: umeSnooze
[14986.600] ddb365: 何買ったのー？
[14989.891] junjamaica: ごんちゃんもう配信してカプエスしてるね
[14990.912] (S)katuo3_: umeSalute
[14994.841] (S)teruharu_: 光だあ
[14999.160] esoracrow: umeYung
[15002.098] masapaka: 結構きれいなトイレだったね
[15015.227] _こぺ_: _こぺ_ is gifting 5 Tier 1 Subs to DaigoTheBeasTV's community! They've gifted a total of 376 in the channel! 
[15015.851] _こぺ_: _こぺ_ gifted a Tier 1 sub to まさしげ! 
[15015.910] _こぺ_: _こぺ_ gifted a Tier 1 sub to mopidaho! 
[15015.916] _こぺ_: _こぺ_ gifted a Tier 1 sub to omoikawa! 
[15015.973] _こぺ_: _こぺ_ gifted a Tier 1 sub to cook_5921! 
[15016.011] _こぺ_: _こぺ_ gifted a Tier 1 sub to th095aya! 
[15022.346] aranami0: 石油王！
[15024.148] 5don: 石油！！！
[15028.175] (S)yogyogsothoth: トイレギフトじゃん
[15028.775] cook_5921: @_こぺ_さん、サブスクギフトをありがとう！
[15032.057] (S)tetsuwoskt: tetsuwoskt subscribed with Prime. They've subscribed for 2 months! 
[15032.159] (M)Moobot: @TETSUWOSKTさん、サブスク登録2ヶ月目！
[15032.880] (S)th095aya: @_こぺ_さん、サブスクギフトをありがとう！
[15038.717] nikukuisugi333: すご
[15049.215] qq_taro: 石油湧いた
[15055.528] nagilay1: 376回目のサブスクギフトｗ
[15059.149] akira_s_: レッドブルと〜
[15065.193] cook_5921: umeWin
[15067.539] (S)yogyogsothoth: narikunSekiyuo
[15071.434] デス動画勢: umeBoom
[15098.049] _こぺ_: どういたしまして～ 
[15099.885] ポンポン: メンチおいしいよね
[15102.533] maypos: こんばんは
[15113.176] brutal9998: そういやぼりぞーとかにゃんだろーりんぐはツイッチには居ないんだね
[15119.148] hiaaru: ななチキすき
[15124.717] taroumaruh: 都内の場所によっては普通に売ってたりする
[15126.443] lesame: むしろ一時期なくなってたんだ
[15127.635] domontyan: ずーーーーーーーーーーっとあるよ家田舎だけど
[15127.865] junjamaica: いてるはず
[15140.531] aranami0: 揚げ鶏さえあればいい
[15146.394] kirsch_jing: 別の名前でもないのか
[15151.206] domontyan: あげどりもずっとあるよ
[15154.840] ジャンクばっち: ウメさんななチキ好きなんだ
[15159.869] taroumaruh: 問題になってるのはファミチキかな？セブンは唐揚げ棒が一部だけだっけ
[15171.839] (S)teruharu_: 昔よりホットスナック種類増えたよね
[15177.070] brutal9998: ファミチキよりななちき？
[15178.295] mirth31: is there someone who can explain me what Daigo is doing?... ^^
[15178.438] (M)Moobot: ワイヤレスヘッドセット Cloud ll Wireless 発売！ http://hyperx.gg/3i5czYA
[15181.702] junjamaica: 揚げ物よりも焼き鳥のがいいな
[15186.196] ebikatsu39: 近所にはない
[15188.785] HirocoT: お、そうなんですか
[15188.923] メピパラ: こないだナナカラしかなかった
[15194.120] kaworuko19: コロナの影響で供給不足
[15194.846] ムエタイ: 復活しました！
[15195.281] tasukete: ななチキと揚げ鳥の違い、よくわかってない
[15202.496] (S)teruharu_: 何買ったの
[15214.566] mobageiskusoge: @mirth31 he's just walking around his neighborhood (or close to his neighbourhood). he likes taking long walks
[15216.125] cherry5625: コンビニホットスナック5強は？
[15217.058] _こぺ_: コロモついてるかついてないかの違い
[15231.604] 花転び: ウメちゃんソースかけるの？
[15234.425] (S)teruharu_: メンチは美味い
[15237.556] ebikatsu39: 揚げ鶏は少し薄味
[15243.473] suesue: メンチの脂をストローで吸いたい
[15247.906] brutal9998: チキンはでもケんタッキーかなあ
[15262.958] kaworuko19: メンチって安いのにうまいよな
[15279.749] クラクラ777: さっきカロリーメイトくってなかった？？ｗ
[15279.917] (S)teruharu_: メンチでご飯かっくらいたい
[15307.796] brutal9998: たまに甘ーいおやつみたいなコロッケない？あれ苦手
[15310.764] _こぺ_: セブンはPFC表記が信用できないのがなぁ
[15325.572] (S)v_harumi_v: ソースは直でいくのかしら？
[15332.732] junjamaica: 商店街の肉屋に置いてるのとかそそるよなぁ！
[15353.215] cherry5625: ウメメンチで一発当てないか？
[15366.585] brutal9998: 上野の肉の大山だっけ？美味しいところ
[15369.181] nagisasaan00: 揚げ物系はい自炊するより買ったほうが旨い＆楽
[15381.011] x_abu_xx: PFCよりカロリーだぞ
[15381.807] メピパラ: カレーパンってセブンのでしたっけ？
[15387.319] tokogonish: コインランドリーかな
[15392.600] junjamaica: そろそろ牛丼早食い！
[15401.673] (S)~MISSING_COMMENTER_INFO~: セブンのカレーパンうまい クリームドーナツはまずい
[15409.818] _こぺ_: PFCっていうか一番重要なタンパク質を盛りがち
[15421.491] (S)~MISSING_COMMENTER_INFO~: おしゃれーーー
[15425.152] taroumaruh: ランドリー併設っぽいね
[15427.282] lesame: 同じそうやね
[15429.525] (S)teruharu_: カフェと併設してるー
[15429.911] tenpoint_jp: セブンのカレーパンはパン屋よりうまい
[15438.608] neogreenlife: しゃれすぎ
[15438.976] sagamihara_a_a: 今どこらへん？
[15444.225] tangarami1122: ブルゲイある？
[15445.104] songbenheming: ランドリーカフェ
[15450.049] oimo: オサレ
[15451.056] x_abu_xx: プロテインは鳥肉食っとけば大丈夫大丈夫
[15452.955] taroumaruh: つかり今のこたか商店
[15457.172] (S)v_harumi_v: 昔はなかった。
[15458.856] メピパラ: 前住んでたとこのちかくだ
[15463.174] yoshikawa_yo: 最近いろんな業態の店がコインランドリー併設しとる
[15463.531] クラクラ777: おしゃれなランドリー
[15465.719] usa451: 併設してるっぽいな
[15467.390] dodomk5: いい発想
[15468.847] おひとつ: かっけ、こんなのあるんだ
[15469.117] (S)teruharu_: こんなとこでランドリー使うの貴族やろ
[15469.996] junjamaica: さす東京！
[15472.582] momochan6: カフェと一体型のやつやね
[15473.083] 有栖永真: ハヤオいます？
[15473.493] oimo: 待ってる間にと
[15474.104] okamasa456: 最近は多いこういうお
[15474.129] (S)~MISSING_COMMENTER_INFO~: ブルゲイはおいてるんかい！
[15478.137] たるさん: 待っている間にカフェで時間つぶせる
[15479.119] ebikatsu39: 営業中なら飲んで待てるのかね
[15479.716] pantherfaust: waschsalon
[15480.711] (S)BaTiTi6969: へー！
[15481.471] (S)エスシーハート: 経営者が一緒なんだろうな
[15484.160] クラクラ777: かしこいね
[15488.482] おひとつ: 頭がいい
[15494.021] umesecond: 理にかなってる
[15495.464] 有栖永真: 洗濯、お好きなんですねぇ
[15498.879] へたろう: コンビニを居抜きしてできたことろですね
[15502.988] kaigaizei: 洗濯、お好きなんですねぇ…
[15506.174] Vikshin: archietvKekw
[15509.828] usa451: 柔軟剤か
[15513.946] gakkaripanda: 洗濯お好きなんですねぇｗｗｗ
[15516.703] ヤギー: 洗濯はやおｗ
[15518.141] (S)teruharu_: ｗｗｗ
[15526.700] メピパラ: 学芸大学らへんだ
[15530.166] おひとつ: もうあの人はやおで定着したの？
[15534.106] クラクラ777: はやおは概念
[15535.607] brutal9998: 世界にははやおが溢れてるなw
[15547.609] kaigaizei: パナマ産の柔軟剤出してくれる
[15567.597] (S)~MISSING_COMMENTER_INFO~: あらまー
[15570.972] mmiiacha: シャレッシャレ
[15572.220] (S)v_harumi_v: ついに学大付近ですね。
[15572.524] taroumaruh: あれんまー
[15573.716] brutal9998: 珈琲お好きなんですね？
[15575.593] aranami0: じんの？
[15575.841] neogreenlife: 好きなんですねえ
[15578.405] junjamaica: 洗濯おすきなんですねぇ！
[15581.013] rias9121: グラマスばっかじゃんねぇ
[15584.599] suesue: 勝ち組が行くとこやん
[15585.330] qq_taro: ブルゲイは無いんだよなぁ
[15589.243] librabird: 神のコーヒーｗ
[15589.319] nozomaro: ヒューゴー使いのはやおは格ゲー界のはやおなのか？
[15590.085] メピパラ: ブルゲイだしてくるかも
[15590.144] taroumaruh: ブルゲイ置いてるのかって聞いてんの！
[15590.633] (S)teruharu_: おされだねー
[15594.382] nmnm000111: おー！
[15594.656] (S)~MISSING_COMMENTER_INFO~: ブルゲイあるかしら
[15600.816] sublinear: 安い
[15603.696] junjamaica: はやおジェラシーきたな
[15604.040] (S)ゆっくり2121: コーヒー好きなんですね〜
[15607.388] aranami0: はやおの勝ち
[15609.653] (S)みそらーめん: おお
[15611.022] kaigaizei: ギガス、お好きなんですねぇ…
[15611.550] akira_s_: お好きなんですねぇ
[15613.777] nikukuisugi333: はやおおるな
[15613.869] (S)erisuk: 光すぎいいいいい
[15615.496] おひとつ: ピッカピカ
[15617.880] kaworuko19: エメマンあらず？
[15618.019] (M)Moobot: レッドブルがアマゾンで買えるよ Get your Red Bull on Amazon! https://amzn.to/3oP9Fcp
[15618.126] usa451: サイバーパンク
[15618.620] rias9121: こっちはえどもんず通ってきたわけ！
[15618.799] kitori_17: これね、ドトール系列だったと思う
[15619.103] (S)v_harumi_v: おしゃれー
[15621.027] kirsch_jing: 神戸コーヒーって読むの？
[15621.256] クラクラ777: はやおの方が高そうｗｗｗ
[15621.509] guruguruwan: こっちのはやおはスーツなんやろうな
[15623.371] tangarami1122: ブルーマウンテンゲイシャ無いは浅いね
[15624.054] ilm0806: まだ開いてる？
[15624.447] 有栖永真: はやお力高いお店だ
[15626.349] rinboy368: 芸者やのうて？
[15627.397] そるてぃ: かみのこーひー？
[15627.667] brutal9998: アジアであそこだけなんでしょうよw
[15628.114] nmnm000111: ぶるげいがぶる**になる
[15628.209] taroumaruh: チャット欄にはやお多すぎない？
[15633.597] クラクラ777: やすいじゃん
[15636.748] hayashi01: ブルゲイ
[15636.844] イガ: コーヒー、お好きなんですねぇ…
[15636.937] usa451: ブルゲイ
[15638.391] (S)v_harumi_v: はやおさんのほうが、高いのおいてる
[15638.656] 不渡哲也: ブルゲイ
[15639.023] junjamaica: でも日本に一つはないぞ
[15639.399] pugya7: 激安
[15639.616] kitori_17: 銀座にもあるよ、実はチェーン店
[15639.711] pascal171012: ｗｗｗｗ
[15640.679] green_tea_power: やすい
[15642.326] momochan6: 値段は普通やな
[15644.894] ilm0806: めっちゃ安いコーヒやな
[15647.370] (S)シミズム: 神乃コーヒー
[15648.371] ddb365: まだまだやね
[15649.083] x_abu_xx: 3000円
[15651.340] (S)~MISSING_COMMENTER_INFO~: ｗｗｗｗｗｗ
[15652.482] oimo: ｗｗｗｗｗｗ
[15652.685] fukinjp: はやおにイルミネーションのイメージない
[15652.770] kirsch_jing: 外から晒されてるじゃん。罰ゲーム？
[15653.634] sublinear: 嫌な客だなww
[15655.114] GreeN3750: ｗｗｗｗ
[15656.512] akira_s_: なんだもぐりか
[15657.234] aranami0: ブルゲイ飲んだ男だからな
[15658.239] pugya7: 「ブルゲイあります？」
[15659.492] ebikatsu39: はやおいない店か
[15661.951] lucentsnow: コーヒー、お好きなんですねぇ・・・
[15664.210] rapid_pierrot: コーヒー嫌いなのかな
[15665.436] rinboy368: 苦くないやつ
[15666.580] kaigaizei: ブッ、ブルゲイ！？（ガシャーン
[15666.745] をかし: え、ブルゲイ置いてないの！？
[15667.059] junjamaica: だがウメハラは空返事！
[15669.704] taroumaruh: 「え！？（あのブルゲイを知っている・・・）」
[15672.158] 勤務中: おいてたらはやおがこまる
[15672.443] Ondskan101: where are the english subtitles?
[15676.240] GreeN3750: （ダルい客きたなあ）
[15677.044] セツリ: 「あれ？アジアで えどもんずしか入荷してないっけ？」とか言ってねｗ
[15677.325] クラクラ777: 伝説のブルゲイ
[15691.132] (S)erisuk: あっないんだ・・ふーん・・・
[15691.461] akira_s_: 店員「!?」
[15692.227] pot1919: コーラ持ち込んだ大貫VSえどもんずはやおの獣道やって
[15694.228] 有栖永真: ハヤオはRPGならセーブしてくれそうな安心感がある
[15695.854] kaigaizei: 「ブルゲイお飲みなんですか？」って店員ビビり散らすよ
[15696.972] キリオ: ブルゲイないんだ。ふーん
[15698.638] okamasa456: 嫌なやつじゃんねえ
[15698.890] ddb365: 出入り禁止にしてほしい
[15699.507] そるてぃ: ブ、ブルネイ？ｗ
[15701.039] (S)matomona: 目黒郵便局のとこか
[15702.111] usa451: 世の中には二種類の人間がいる
[15703.610] junjamaica: ありますよ！ではやおのハッタリがバレるのまき！
[15704.314] uridon123: ブルゲイ置いてたら はやおの話が嘘になっちまう
[15704.521] おひとつ: えどもんず以外すべてのカフェでマウントとれるね
[15707.336] ld0loresl: Nice yellow leaves
[15710.554] taroumaruh: 店員が「置いております」って言った日には人狼はじまる
[15710.655] ilm0806: ブルゲイで、果たして通じるのか
[15713.958] クラクラ777: あっ、この店おいてないんだぁ～ふぅ～ん
[15715.359] lucentsnow: “ブルゲイ”ある？
[15716.463] (S)BaTiTi6969: ☕
[15720.964] sublinear: セブンイレブンにブルゲイあるか聞こう
[15726.633] (S)v_harumi_v: おー。私の生まれ育った超近く。
[15727.755] (S)~MISSING_COMMENTER_INFO~: けんじも側だなw
[15728.088] momochan6: 有名なんかなブルゲイ
[15728.316] brutal9998: ブルゲイのんだか飲んでないか
[15739.412] (S)v_harumi_v: もう実家はないけれど。
[15747.549] rinboy368: うちの近くにパナマゲイシャなら出してる店ある
[15748.432] kaigaizei: ブルゲイ飲んだサナダムシもいるわけだ
[15749.870] kirsch_jing: 俺もこんなところで生まれ育ちたかった
[15751.419] ebikatsu39: どういうルートで仕入れたんだろうｗ
[15752.584] (S)~MISSING_COMMENTER_INFO~: 略さない
[15754.131] hiro_chan: ブルマン
[15757.794] taroumaruh: BG？
[15761.355] ilm0806: サナダムシは、ブルゲイ飲んでない
[15768.099] GreeN3750: ゲイシャで通じるんじゃない
[15773.771] (S)erisuk: ブルゲイ飲んだことあるだけでイキりすぎやろｗｗｗ
[15774.019] yogaotoko: マンゲイ
[15775.014] aothurston: ブルマンゲ
[15775.399] (S)~MISSING_COMMENTER_INFO~: サナダムシはキャラメルマキアート
[15775.419] librabird: ブルマンゲ
[15782.908] aothurston: マンゲ
[15783.062] (M)Moobot: ワイヤレスヘッドセット Cloud ll Wireless 発売！ http://hyperx.gg/3i5czYA
[15785.818] pot1919: ブマゲ
[15787.466] をかし: たけーゲイシャ
[15788.521] potocki1810: ゲイシャ
[15789.573] suginaka56: ブルマンゲイ
[15790.523] GreeN3750: あー別なんか
[15792.011] persona777: ブルマンまでは確定
[15793.611] lucentsnow: マンゲイ
[15794.641] クラクラ777: ぶげ
[15795.620] tangarami1122: ブゲ
[15795.805] pascal171012: 家族で見てるんやぞ
[15796.425] usa451: 折笠
[15797.638] kaigaizei: ブルマゲイシャ
[15797.687] qq_taro: 3000円のコーヒーはすごい
[15799.491] potocki1810: ブゲイシャ
[15802.247] tasukete: ゲイシャはどこの置いてます？って聞くんかな
[15804.237] おひとつ: ゲイシャそのものはローソンで扱ったくらい有名だけど、ブルーマウンテンで育てたっていうゲイシャは確かに聞いたことない
[15805.145] 勤務中: アジアでブルゲイを飲んだゆいいつのサナダムシ
[15807.233] hiro_chan: ルマゲ
[15808.471] ilm0806: ブゲイシャ
[15812.953] 有栖永真: なんか文字が似てるからゲマビでいいんじゃない？
[15816.668] メピパラ: ブルゲイ
[15818.014] (S)~MISSING_COMMENTER_INFO~: ロ、ローソン？！
[15818.190] クラクラ777: へぇ～
[15820.389] ddb365: へー
[15823.018] hiro_chan: マルゲヤ
[15826.066] junjamaica: 意味を調べたら分かりそう、
[15827.202] fukinjp: ブル芸者
[15827.835] (S)arotadiph: ゲイシャブルマだとちょっと危険
[15837.768] usa451: はやおはなんて呼んでたの？
[15839.328] uridon123: サナダムシは苦いの苦手
[15839.582] (S)Loytory: おっとぉ
[15841.421] ビフィダス: へー
[15845.281] sagamihara_a_a: ブマゲ
[15845.441] rapid_pierrot: ゲイシャ飲み以外でもコーヒー好きいるじゃんねえ
[15845.963] tokogonish: ボクシングの試合終わった
[15848.056] kaigaizei: ブルマゲイシャはもう特殊性癖の領域
[15849.748] lucentsnow: ウメちゃんコーヒーの案件してなかったっけ
[15873.189] クラクラ777: ゲイシャって芸者なの？？
[15873.456] brutal9998: そもそも日本人以外は略さない
[15876.833] sagamihara_a_a: ゲマビ
[15880.157] aranami0: こだわり強そうだから略さないでしょ
[15886.367] (S)arotadiph: そのコーヒーって何がどう違うの？
[15893.355] 有栖永真: 青山芸者
[15897.298] taroumaruh: ｗ
[15898.678] (S)~MISSING_COMMENTER_INFO~: アメリカンよりうっすい
[15900.660] GreeN3750: ｗｗｗｗ
[15904.017] (S)jgdmawtjpd777: こんばんは 
[15907.339] taroumaruh: ネットリ
[15909.481] pot1919: ブルゲイにミルクと砂糖を足しまくるってトドメにコーラを入れる大貫
[15910.125] ジャンクばっち: ｗｗｗｗ
[15912.943] nmnm000111: ハワイアン
[15913.889] 5don: それを記念飲み
[15913.922] kitori_17: なんでうっすら笑ってる声なのw
[15918.177] nikukuisugi333: でも薄いんでしょ？
[15920.306] kame277: おいしそう
[15920.406] lucentsnow: ブシャ
[15926.756] クラクラ777: ｗｗｗ
[15928.453] potocki1810: ｗｗｗｗｗｗ
[15930.599] pot1919: お好きなんですねぇ～～
[15930.989] aranami0: プレス式か
[15931.009] (S)erisuk: 貴重＝一番うめぇわけじゃねーからなぁ
[15933.026] tangarami1122: フレンチプレスかな？
[15933.262] (S)~MISSING_COMMENTER_INFO~: www
[15933.360] 1108044k: 薄かった
[15935.802] blackgmwj: ]
[15938.758] 有栖永真: ヘルシングに出てきそうなハヤオ
[15939.053] fukinjp: はやおは"の"付けがちだからブルマンのゲシシャ
[15940.852] usa451: はやお会いにいきたい
[15944.154] (S)BaTiTi6969: wwwwww
[15947.325] lucentsnow: 本当に駿だった？
[15950.358] rinboy368: 高島屋のオンラインショップで売ってるけど2袋で1万円くらいやね
[15957.340] (S)arotadiph: 動物のうんこに含まれてた豆でいれたコーヒーってあるよね
[15959.789] librabird: たっか
[15966.070] pugya7: そんなに珍しいと本物かどうかも分からんよな
[15968.721] blackcoffee0821: よくわかんないけど似てる
[15971.766] kirsch_jing: ジャコウネコのやつね
[15974.712] (S)v_harumi_v: ジャコウネコのコーヒー
[15976.157] ShunSSS: コピ・ルアク
[15979.303] junjamaica: エチオピア南西部のゲシャ村からきてるんだって！名前の由来
[15979.584] okamasa456: そういうものなのよｗ
[15983.525] qq_taro: ついでにアジフライも食べれる
[15985.901] taroumaruh: ん？
[15990.406] umesecond: コーヒー博識ニキ多いな
[15990.431] 1108044k: あれ
[16003.012] クラクラ777: たっか
[16004.037] brutal9998: ブルゲイかと思った
[16005.027] クラクラ777: ん
[16007.013] nikukuisugi333: おい
[16009.804] taroumaruh: あぶねーはやお人狼だったかと思った
[16014.168] x_abu_xx: 1杯3000円
[16015.039] (S)erisuk: 配信を参考にして行けば迷わなくて済むな
[16015.388] おひとつ: ふーっあぶないあぶない
[16016.240] yoshikawa_yo: 流通してんのかとw
[16017.545] クラクラ777: ふぅ～あせらすなよぉｗ
[16018.742] kame277: コーヒーは結構ガチってみたい
[16023.359] rias9121: 知識の泉
[16035.521] pugya7: 芸者じゃないのか
[16037.982] (S)ゆっくり2121: 京都ファンの外国人さん産だと思ってた
[16038.407] めがちー: コーヒーは初期投資そんなかからず始められて良い
[16039.270] lucentsnow: 本当はいくらなんだろう
[16040.405] GreeN3750: ｗｗｗ
[16040.502] ebikatsu39: ｗｗ
[16040.977] tangarami1122: ご存知だと思いますけども
[16043.179] aranami0: コーヒーは部屋がいい匂いになるから好き
[16044.806] taroumaruh: あなたさーｗ
[16051.805] kame277: あなたさー
[16057.080] (S)ゆっくり2121: w
[16060.506] メピパラ: wwwwwwwwww
[16061.629] potocki1810: ｗｗｗｗｗ
[16062.328] GreeN3750: ｗｗｗｗ
[16064.156] okamasa456: あなたさあ
[16065.148] taroumaruh: あの！？
[16065.151] (S)v_harumi_v: www
[16065.313] pot1919: 雰囲気出ちゃってたか～
[16066.057] 157655: うれしかったろうなーマスター
[16066.518] (S)erisuk: カマかけたんじゃね？ｗ
[16068.224] reganfa: 皆様「ご存じの」
[16068.225] junjamaica: 香がいいよねぇ！
[16070.237] lucentsnow: ブルゲイ パナゲイ
[16070.379] ddb365: 浅い眠りよ
[16070.980] aranami0: ウメちゃんも雰囲気あるからなーw
